CodMacchina;DescrMacchina;Data;Work;Pause;Alarm;Down
19;66-QTN_200_MSY;2025-09-04 00:00:00.000;0.00000000;796.805.555;0.03222222;0.00000000
12;71-INTEGREX;2025-09-04 00:00:00.000;248.277.777;466.305.555;0.21694444;0.00000000
24;16-ALFA1_IA_FANUC;2025-09-04 00:00:00.000;262.027.777;121.083.333;0.52555555;0.00000000
7;103-DMG_NMV_5000;2025-09-04 00:00:00.000;265.583.333;619.000.000;0.00000000;0.00000000
35;30-LYNX_300M;2025-09-04 00:00:00.000;802.333.333;0.62527777;0.00000000;0.00000000
28;81-MITSUBISHI_MV1200S;2025-09-04 00:00:00.000;871.472.222;0.05555555;0.00000000;0.00000000
38;136_DMG;2025-09-04 00:00:00.000;572.277.777;320.472.222;0.05027777;0.00000000
16;34-INTEGREX_I300;2025-09-04 00:00:00.000;604.138.888;0.64444444;0.97638888;0.00000000
33;7-SL25;2025-09-04 00:00:00.000;0.13916666;524.916.666;243.166.666;0.00000000
9;104-DMG_NMV_3000;2025-09-04 00:00:00.000;627.111.111;269.527.777;0.00000000;0.00000000
4;33-VTC800_MAZAK;2025-09-04 00:00:00.000;0.56194444;830.805.555;0.00388888;0.10722222
14;26-INTEGREX_J200;2025-09-04 00:00:00.000;0.86916666;203.888.888;607.250.000;0.00000000
18;31-QTN_200_MSY;2025-09-04 00:00:00.000;0.00000000;0.89500000;798.250.000;0.00000000
11;73-VARIAXIS_J500;2025-09-04 00:00:00.000;600.138.888;277.638.888;0.00972222;0.00000000
6;24-MCM_CONCEPT;2025-09-04 00:00:00.000;104.500.000;657.666.666;0.04694444;0.51916666
39;158-DMG;2025-09-04 00:00:00.000;184.194.444;0.00000000;0.00000000;0.00000000
36;70-PUMA_GT2600LM;2025-09-04 00:00:00.000;886.583.333;0.11805555;0.00000000;0.00000000
8;36-DMG_NMV_3000;2025-09-04 00:00:00.000;0.24944444;863.944.444;0.00000000;0.00000000
13;77-INTEGREX;2025-09-04 00:00:00.000;0.00083333;882.138.888;0.00000000;0.00000000
5;18-MCM_CLOCK;2025-09-04 00:00:00.000;880.500.000;0.18916666;0.00111111;0.00000000
17;27-INTEGREX_200;2025-09-04 00:00:00.000;0.63388888;830.000.000;0.00055555;0.00000000
10;72-VARIAXIS_J500;2025-09-04 00:00:00.000;696.638.888;181.083.333;0.00166666;0.00000000
